taxonomy_level	n_rows	mean_clip_pair_cosine	median_clip_pair_cosine	max_clip_pair_cosine	min_clip_pair_cosine
3	411	0.22068092226982117	0.223904088139534	0.34349125623703003	0.1008620634675026
4	401	0.21402102708816528	0.2125563621520996	0.321603387594223	0.0974452942609787
5	12	0.22261913120746613	0.22032281756401062	0.27658504247665405	0.13903367519378662
6	91	0.21822118759155273	0.22047367691993713	0.3245881199836731	0.11840926110744476
7	5	0.25935959815979004	0.2608390748500824	0.27113234996795654	0.24508902430534363
8	0				
